x,y
824.965551,7.539176
822.965230,7.565074
815.965122,7.544528
810.964932,7.541829
806.964701,7.547947
806.964295,7.591263
806.963886,7.634578
805.963520,7.668380
802.963245,7.682938
801.962878,7.716417
799.962556,7.740114
793.962423,7.724681
792.962055,7.757516
792.961638,7.800080
792.961218,7.842643
792.960796,7.885207
789.960521,7.897780
781.960500,7.859775
779.960179,7.881540
777.959858,7.903089
776.959485,7.934636
772.959269,7.935279
772.958842,7.976769
776.958197,8.059751
772.957981,8.059749
772.957547,8.101239
763.957611,8.047924
763.957178,8.088931
763.956742,8.129938
763.956305,8.170945
767.955634,8.254946
767.955190,8.296168
760.955156,8.261398
760.954711,8.302243
757.954445,8.310199
757.953998,8.350884
753.953794,8.347286
753.953344,8.387756
753.952893,8.428226
744.953007,8.367611
742.952684,8.385027
742.952233,8.424907
750.951261,8.555928
744.951194,8.527558
744.950735,8.567545
744.950274,8.607532
740.950080,8.601089
740.949617,8.640861
740.949153,8.680633
740.948685,8.720405
740.948216,8.760177
740.947745,8.799949
740.947272,8.839721
733.947299,8.795611
732.946898,8.822970
732.946423,8.862313
733.945873,8.913799
733.945393,8.953195
730.945137,8.955837
730.944655,8.995072
724.944629,8.960154
724.944147,8.999067
723.943741,9.025513
721.943412,9.039333
721.942926,9.078085
718.942677,9.078955
718.942188,9.117545
721.941455,9.194340
721.940960,9.233091
721.940464,9.271843
721.939965,9.310595
721.939464,9.349346
721.938961,9.388098
721.938456,9.426850
722.937863,9.478711
721.937440,9.504353
718.937191,9.503451
720.936504,9.568584
717.936255,9.567307
712.936188,9.538951
717.935224,9.644381
714.934978,9.642459
714.934460,9.680835
722.933200,9.827957
722.932671,9.866762
722.932140,9.905567
723.931513,9.958126
723.930978,9.996984
722.930536,10.021981
722.929997,10.060786
713.930334,9.973870
713.929798,10.012191
713.929259,10.050513
721.927920,10.201875
721.927371,10.240626
721.926821,10.279377
720.926370,10.303837
716.926227,10.285155
716.925674,10.323638
720.924701,10.419928
722.923931,10.487637
722.923367,10.526441
722.922801,10.565246
719.922555,10.560050
719.921987,10.598693
719.921417,10.637336
719.920845,10.675980
723.919828,10.774149
723.919249,10.813006
723.918667,10.851864
723.918084,10.890722
723.917498,10.929580
723.916911,10.968438
723.916321,11.007295
723.915729,11.046153
726.914783,11.130943
728.913949,11.200691
731.912990,11.286071
731.912383,11.325358
731.911774,11.364645
733.910920,11.435090
734.910183,11.490117
727.910427,11.419759
727.909813,11.458832
734.908323,11.608460
734.907699,11.647908
735.906946,11.703257
738.905935,11.790623
742.904789,11.894319
738.904665,11.869947
741.903637,11.957957
741.902995,11.997780
741.902349,12.037603
741.901702,12.077427
745.900519,12.182572
746.899730,12.238994
747.898937,12.295523
748.898140,12.352159
750.897202,12.425449
750.896534,12.465754
751.895725,12.522713
751.895052,12.563073
759.893253,12.737511
759.892568,12.778300
756.892308,12.768487
759.891192,12.859877
760.890356,12.917641
769.888357,13.111737
769.887652,13.153063
769.886945,13.194388
769.886236,13.235713
768.885673,13.259795
766.885259,13.266474
768.884245,13.342338
773.882770,13.470629
773.882046,13.512169
781.880093,13.693799
785.878740,13.806028
785.877998,13.848211
786.877097,13.908067
786.876349,13.950304
786.875599,13.992542
787.874688,14.052612
787.873933,14.094903
798.871405,14.334540
801.870148,14.431404
801.869372,14.474446
801.868594,14.517488
803.867484,14.596840
804.866534,14.658199
807.865245,14.756189
810.863949,14.854502
814.862476,14.971507
821.860483,15.144211
821.859669,15.188326
823.858509,15.269503
825.857342,15.350895
825.856517,15.395224
827.855340,15.476938
830.853981,15.577612
834.852437,15.697406
835.851415,15.761072
838.850032,15.862658
838.849179,15.907685
840.847963,15.990740
842.846739,16.074009
852.844047,16.310464
854.842803,16.394592
863.840257,16.613535
870.838063,16.794879
872.836786,16.880295
872.835879,16.927146
873.834780,16.993441
873.833867,17.040346
874.832760,17.106801
884.829918,17.349803
888.828213,17.475930
894.826108,17.641909
896.824769,17.729471
897.823619,17.797429
903.821478,17.964858
908.819520,18.113003
913.817548,18.261686
921.814961,18.471006
923.813564,18.560661
925.812161,18.650531
930.810139,18.801199
933.808513,18.911907
937.806673,19.043238
943.804406,19.215711
945.802956,19.307190
947.801500,19.398884
966.796458,19.839575
971.794334,19.994321
972.793046,20.067108
974.791540,20.160680
983.788522,20.399586
999.783970,20.784952
1002.782201,20.901133
1006.780205,21.038529
1008.778635,21.134461
1017.775515,21.377606
1027.772149,21.642770
1030.770318,21.761259
1035.768028,21.922391
1036.766625,21.999202
1046.763181,22.267532
1050.761075,22.409005
1054.758957,22.550908
1070.754071,22.950387
1072.752376,23.050828
1074.750673,23.151482
1075.749196,23.230762
1101.741857,23.851238
1101.740575,23.910376
1103.738816,24.013016
1103.737526,24.072262
1114.733604,24.371948
1134.727492,24.870022
1145.723502,25.172552
1148.721422,25.300109
1157.717869,25.560425
1166.714292,25.821707
1167.712658,25.906513
1194.704592,26.569507
1201.701425,26.789649
1205.698987,26.943517
1228.691771,27.523318
1234.688779,27.723962
1238.686277,27.880245
1243.683506,28.059514
1257.678419,28.442804
1269.673809,28.782271
1284.668391,29.191177
1298.663192,29.578921
1308.658998,29.876872
1319.654513,30.198773
1328.650524,30.475992
1343.644923,30.892088
1367.636892,31.517143
1369.634665,31.636739
1391.627071,32.219473
1396.623994,32.410170
1421.615492,33.066474
1429.611542,33.329240
1461.601018,34.153523
1467.597538,34.372465
1472.594314,34.568582
1491.587199,35.094541
1522.576697,35.905444
1539.570021,36.388867
1562.561615,37.016211
1590.551737,37.764705
1605.545462,38.206933
1628.536870,38.841521
1654.527357,39.550270
1666.521790,39.926493
1698.510423,40.784100
1722.501285,41.452673
1750.490917,42.220270
1782.479303,43.087536
1807.469654,43.788699
1822.462881,44.249815
1860.449258,45.272055
1880.440880,45.859527
1926.424682,47.084430
1974.407758,48.363245
2005.395823,49.230008
2050.379565,50.444429
2069.371081,51.022812
2106.357049,52.047878
2158.338316,53.448254
2194.324362,54.457256
2243.306288,55.793344
2296.286835,57.234360
2340.270040,58.456327
2375.255938,59.457797
2417.239534,60.638569
2461.222378,61.874112
2505.205096,63.114376
2559.184503,64.611752
2619.161837,66.266679
2664.143819,67.547851
2685.133414,68.224253
2752.108040,70.073775
2821.081825,71.981501
2907.049858,74.331168
2947.032740,75.511793
3026.002653,77.697772
3123.966054,80.380946
3123.961734,80.548631
3206.929715,82.860141
3257.908177,84.352307
4108.617361,106.599177
4163.593054,108.249176
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
4955.297738,129.897360
4946.293862,129.927019
4934.291036,129.876775
4946.279885,130.458023
4955.269734,130.961300
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
6.997497,0.187190
5.997846,0.160770
5.997837,0.161092
5.997828,0.161414
5.997820,0.161736
5.997811,0.162058
5.997802,0.162380
5.997794,0.162702
5.997785,0.163024
5.997776,0.163346
5.997767,0.163668
5.997759,0.163990
5.997750,0.164312
5.997741,0.164634
5.997732,0.164956
5.997723,0.165278
5.997714,0.165600
5.997705,0.165922
5.997696,0.166243
5.997688,0.166565
5.997679,0.166887
5.997670,0.167209
5.997661,0.167531
5.997652,0.167853
5.997643,0.168175
5.997634,0.168497
5.997625,0.168819
5.997615,0.169141
5.997606,0.169463
5.997597,0.169785
5.997588,0.170107
5.997579,0.170429
5.997570,0.170751
5.997561,0.171073
5.997551,0.171394
5.997542,0.171716
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
6.997068,0.202589
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
3966.313105,115.690772
3833.363639,112.018796
3728.402588,109.151918
3613.446155,105.980604
3501.488778,102.885061
3390.531312,99.806923
3308.561584,97.571732
3187.609116,94.176012
3089.646955,91.447766
3005.678945,89.123948
2927.708549,86.969271
2859.733967,85.103684
2796.757374,83.379800
2734.780529,81.679008
2680.800295,80.210820
2615.825166,78.407269
2559.846184,76.866873
2505.866470,75.380603
2463.881478,74.249999
2409.902079,72.752783
2376.913252,71.884583
2337.927276,70.831144
2297.941881,69.743185
2233.967694,67.921574
2196.981195,66.915073
2162.993416,65.996093
2118.010875,64.737405
2072.028945,63.443283
2015.052331,61.806984
2002.055143,61.515892
1961.071246,60.361969
1901.096505,58.618083
1849.118143,57.114741
1835.121771,56.781025
1817.127361,56.321887
1817.124335,56.419425
1821.119371,56.641312
1821.116328,56.739065
1831.108413,57.148764
1836.102901,57.403295
1837.099327,57.533153
1846.091810,57.913964
1852.085739,58.201513
1853.082117,58.332391
1857.076996,58.557925
1873.065875,59.162732
1873.062696,59.263273
1880.056000,59.585557
1880.052798,59.686472
1880.049592,59.787388
1849.062096,58.901309
1849.058932,59.000561
1849.055762,59.099813
1850.052075,59.231064
1850.048893,59.330369
1857.042097,59.654422
1861.036823,59.882744
1862.033087,60.014853
1874.023614,60.502015
1874.020364,60.602607
1874.017108,60.703199
1875.013321,60.836219
1879.007942,61.066793
1879.004662,61.167653
1888.996064,61.594409
1893.990090,61.859021
1898.984094,62.124169
1909.974855,62.586357
1911.970417,62.754488
1918.963266,63.087122
1920.958793,63.255949
1928.951047,63.622782
1936.943267,63.990473
1939.938188,64.193659
1941.933642,64.364042
1944.928533,64.567818
1955.918988,65.037784
1963.911061,65.409068
1965.906435,65.581167
1973.898450,65.953845
1983.889311,66.394278
1985.884622,66.567771
1986.880483,66.707923
1999.869555,67.251489
2009.860275,67.695462
2010.856070,67.837061
2024.844440,68.417776
2037.833327,68.966170
2038.829048,69.109432
2046.820729,69.490317
2047.816418,69.634168
2047.812677,69.744089
2047.808931,69.854010
982.426789,33.564931
976.428496,33.412470
975.427287,33.430629
971.427846,33.345762
962.431369,33.088665
955.433738,32.899430
955.431971,32.950715
955.430200,33.002000
955.428428,33.053285
955.426652,33.104569
942.432694,32.704990
941.431541,32.720841
939.430994,32.701796
934.432273,32.578008
929.433569,32.453683
921.436713,32.223972
920.435595,32.238428
918.435092,32.217720
907.440144,31.880798
902.441524,31.753683
901.440438,31.766905
900.439354,31.780020
887.445761,31.369120
887.444076,31.416755
881.446156,31.251794
868.452665,30.837782
115.926717,4.122658
106.932198,3.808537
100.935807,3.600392
100.935614,3.605810
100.935420,3.611228
99.935867,3.580837
99.935675,3.586202
99.935482,3.591566
99.935290,3.596930
99.935096,3.602294
99.934903,3.607659
103.932097,3.757544
106.929931,3.871674
767.495582,27.830409
811.465102,29.468417
811.463519,29.511974
811.461934,29.555530
813.459017,29.671992
811.458757,29.642644
811.457164,29.686201
813.454229,29.802983
811.453973,29.773314
799.460466,29.376227
794.462270,29.235270
794.460700,29.277914
792.460488,29.246796
792.458917,29.289333
791.458028,29.294882
786.459886,29.152154
786.458320,29.194369
786.456752,29.236584
780.459335,29.055580
780.457774,29.097473
775.459692,28.952814
775.458137,28.994438
767.462182,28.736722
767.460638,28.777917
767.459093,28.819112
762.461076,28.672414
762.459536,28.713341
762.457994,28.754267
762.456449,28.795194
759.457046,28.722741
753.459801,28.536426
753.458269,28.576869
751.458175,28.541405
748.458809,28.467718
744.460178,28.355648
744.458655,28.395608
744.457130,28.435569
744.455603,28.475529
742.455539,28.438937
744.452541,28.555449
740.453955,28.441877
740.452427,28.481622
740.450898,28.521367
740.449365,28.561112
733.453048,28.330674
732.452273,28.331392
727.454498,28.177184
727.452984,28.216231
727.451469,28.255279
726.450706,28.255460
725.449946,28.255534
725.448429,28.294474
725.446909,28.333414
722.447679,28.255113
724.444629,28.372160
724.443105,28.411046
722.443119,28.371449
722.441596,28.410228
722.440070,28.449006
716.443201,28.251372
713.444019,28.171461
713.442506,28.209756
705.447254,27.931547
705.445754,27.969413
705.444252,28.007280
705.442747,28.045146
703.442824,28.003457
703.441320,28.041215
706.437426,28.198629
703.438305,28.116732
706.434395,28.274467
706.432876,28.312387
707.430551,28.390405
706.429833,28.388225
706.428308,28.426144
702.430024,28.303022
706.425252,28.501982
702.426982,28.378430
702.425457,28.416135
705.421473,28.575263
705.419938,28.613128
704.419225,28.610411
704.417688,28.648222
703.416978,28.645344
700.417930,28.560872
700.416396,28.598468
698.416529,28.554364
700.413322,28.673661
699.412621,28.670299
698.411922,28.666830
699.409539,28.745384
699.407995,28.782926
699.406449,28.820468
699.404901,28.858010
699.403351,28.895552
696.404362,28.809095
699.400245,28.970636
699.398689,29.008178
699.397131,29.045719
699.395570,29.083261
699.394008,29.120802
699.392444,29.158344
695.394359,29.029051
695.392800,29.066378
695.391238,29.103705
698.387044,29.266639
701.382835,29.429895
701.381254,29.467543
701.379672,29.505191
698.380745,29.416588
694.382717,29.285525
694.381144,29.322797
693.380462,29.317825
694.377992,29.397342
697.373722,29.561670
700.369435,29.726320
700.367839,29.763914
700.366240,29.801507
700.364639,29.839101
700.363037,29.876694
700.361432,29.914288
700.359825,29.951881
705.353639,30.203379
701.355688,30.069902
705.350392,30.279102
706.347844,30.359905
708.344364,30.483810
708.342726,30.521832
708.341087,30.559854
713.334787,30.813657
713.333132,30.851947
713.331475,30.890237
713.329816,30.928526
713.328155,30.966815
714.325548,31.048529
717.321044,31.217307
711.325055,30.994620
715.319589,31.207143
722.311244,31.551012
718.313370,31.415013
718.311682,31.453570
718.309993,31.492127
722.304453,31.706098
724.300822,31.832683
724.299112,31.871562
725.296431,31.954454
726.293743,32.037454
727.291049,32.120561
733.283466,32.424651
735.279768,32.552470
735.278019,32.591937
735.276269,32.631405
736.273530,32.715262
732.275726,32.577009
731.274966,32.571819
731.273217,32.611071
738.264499,32.962554
734.266719,32.823550
734.264956,32.862963
734.263191,32.902377
730.265443,32.762515
667.327142,29.974753
243.753637,10.961946
201.795557,9.085885
201.795069,9.096717
194.801699,8.791941
192.803265,8.712116
188.806884,8.541689
186.808474,8.461328
185.809046,8.426054
185.808594,8.436027
186.807109,8.491410
189.803551,8.637824
189.803087,8.648012
189.802623,8.658200
188.803199,8.622765
184.806911,8.450192
